Username,Total Mobs Killed,ALLAY,ARMADILLO,AXOLOTL,BAT,BEE,BLAZE,BOGGED,BREEZE,CAMEL,CAMEL_HUSK,CAT,CAVE_SPIDER,CHICKEN,COD,COPPER_GOLEM,COW,CREAKING,CREEPER,DOLPHIN,DONKEY,DROWNED,ELDER_GUARDIAN,ENDER_DRAGON,ENDERMAN,ENDERMITE,EVOKER,FOX,FROG,GHAST,GLOW_SQUID,GOAT,GUARDIAN,HAPPY_GHAST,HOGLIN,HORSE,HUSK,IRON_GOLEM,LLAMA,MAGMA_CUBE,MOOSHROOM,MULE,NAUTILUS,OCELOT,PANDA,PARCHED,PARROT,PHANTOM,PIG,PIGLIN,PIGLIN_BRUTE,PILLAGER,POLAR_BEAR,PUFFERFISH,RABBIT,RAVAGER,SALMON,SHEEP,SHULKER,SILVERFISH,SKELETON,SKELETON_HORSE,SLIME,SNIFFER,SNOW_GOLEM,SPIDER,SQUID,STRAY,STRIDER,TADPOLE,TRADER_LLAMA,TROPICAL_FISH,TURTLE,VEX,VILLAGER,VINDICATOR,WANDERING_TRADER,WARDEN,WITCH,WITHER,WITHER_SKELETON,WOLF,ZOGLIN,ZOMBIE,ZOMBIE_HORSE,ZOMBIE_NAUTILUS,ZOMBIE_VILLAGER,ZOMBIFIED_PIGLIN
mleeum,1119,0,0,0,0,0,1,9,2,0,0,0,5,8,0,0,4,0,58,0,0,5,0,0,37,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,26,270,0,6,0,0,130,1,30,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,481,0,0,8,6
NoLifeStudiosYT,1115,0,0,0,0,0,2,0,22,0,0,0,2,0,0,0,6,0,37,0,0,17,0,0,503,0,0,0,0,2,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,36,45,94,0,129,0,0,66,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,107,0,0,2,3
BobThyBox,1416,0,0,0,0,0,5,25,17,0,0,1,20,101,0,0,48,0,48,0,0,39,3,0,4,1,0,0,0,3,31,1,17,0,27,2,2,0,0,10,0,0,0,0,0,0,0,0,26,63,2,0,0,0,4,0,0,46,50,2,160,1,28,0,0,101,19,106,0,0,8,0,0,0,13,0,2,0,3,0,4,0,0,360,0,0,6,7
SnowSah,7872,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,5,0,41,0,0,16,0,0,7147,1,0,0,3,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,21,1,1,101,0,113,0,0,73,23,0,0,0,4,0,1,0,4,0,3,0,4,0,0,0,0,237,0,0,5,1
MagicSchoolBurs,1044,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,12,0,59,0,0,2,0,0,233,0,0,0,0,2,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,17,0,0,0,0,0,0,5,0,0,202,0,0,0,0,71,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,324,0,0,7,22
fi5hgirl,16910,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,48,0,0,10,3,0,15584,0,0,0,0,2,0,0,0,0,6,0,29,0,0,881,0,0,0,0,0,1,0,1,1,28,7,56,0,0,0,0,0,0,40,0,86,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,90,0,0,1,0
JumpoRah,3290,0,0,0,0,0,9,0,0,0,0,0,180,0,0,0,27,0,34,0,0,3,0,0,133,0,0,0,0,3,1,0,0,0,3,0,0,7,0,25,0,0,0,0,0,0,0,0,12,13,6,0,0,0,0,0,0,30,0,2419,132,0,0,0,0,36,7,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,185,0,0,8,0
Shy_Warrior2034,9408,0,0,0,0,0,78,0,0,0,0,0,3,5,0,0,5,0,130,0,0,68,0,0,8430,0,0,0,0,0,29,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,0,0,184,0,120,0,0,41,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,274,0,0,2,0
Jfox91328,815,0,1,0,0,8,0,0,0,0,0,1,5,8,0,0,5,0,46,0,2,2,0,0,21,0,0,1,0,1,0,0,0,0,0,0,2,24,0,41,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,10,0,23,117,0,66,0,0,53,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,347,0,0,12,4
Kori_Infernalis,1367,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,1,14,0,0,4,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,75,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,29,0,18,0,0,34,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,47,0,0,1,1
