,Username,Can be bet on?,# Of Times Top in a Category,# Of Times Top in a Category (ALL SHEETS),AVIATE_ONE_CM,ANIMALS_BRED,BELL_RING,BOAT_ONE_CM,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_CM,CROUCH_ONE_CM,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_CM,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_CM,HAPPY_GHAST_ONE_CM,HORSE_ONE_CM,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_CM,MOB_KILLS,NAUTILUS_ONE_CM,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_CM,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_CM,STRIDER_ONE_CM,SWIM_ONE_CM,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_CM,WALK_ONE_CM,WALK_UNDER_WATER_ONE_CM
23,Mob_Ninja_J,True,3.0,68.0,"298,979,179",666,"2,340","67,075,254",1,28,7,"1,487,093","16,052,849",915,"37,465","1,094,586",,,"15,349","296,688",55,"10,760",,29,"24,528,352",20,904,"232,965,453","90,372,382","4,577,136",417,405,747,226,36,199,"2,415",,246,"1,287",710,32,241,48,13,38,166,"939,192",460,"421,155","16,662","6,443,792","25,795","10,508","10,709","9,001","1,577,279","1,536",135,14,137,3,4,433,"3,414,348","116,772,736","1,365,715","14,758,874","3,649",3,"288,041","19,675","54,647,165","1,909",133,"1,569",7,"3,281,584","73,936,443","10,647,975"
24,Genghis_II,True,3.0,40.0,"168,717,126",410,5,"6,036,840",,2,2,"2,425,029","12,843,401",,"3,789","20,715,998",,,"1,113","1,043,456",9,"5,592",10,146,"6,492,546",164,12,"24,908,312",,"249,263",921,"1,435","7,041",234,72,6,246,,2,"1,597",662,128,91,42,13,3,209,"147,890",337,"58,884","1,309,604",,"4,062","21,112","1,439","20,279",,313,,2,23,,,572,"2,126,235","44,352,508",,"638,194","2,577",1,"19,743,880","18,317","52,952,943","13,132","1,468","1,843",769,"995,515","63,026,478","1,852,591"
25,Rocktail1202,True,3.0,63.0,"62,768,261",297,11,"23,970,735",34,39,9,"5,812,243","7,093,840","2,749","72,994","748,201",126,,"39,542","141,745",79,"2,063",120,141,"6,678,004",36,"1,509","35,708,781","24,882,788","13,806,737",244,1,255,299,14,"1,614","1,156",10,2,"2,939","8,990",276,44,43,38,779,492,"224,775",239,"6,827,401","17,963","79,413","4,679","31,577","4,471","12,048","1,647,897",1,28,,43,,,997,"2,288,391","61,629,115","1,888,133","9,694,762","3,330",64,"2,638,166","126,882","51,277,155","6,954",111,54,7,"3,993,767","64,443,440","11,130,034"
26,ZoeIsEepy,True,1.0,53.0,"231,338,437",6,153,"47,684,315",,,,"1,170,849","36,105,493",307,"5,179","551,110",118,91,"9,221","136,764",15,"8,395",6,5,"6,438,162",5,"1,225","44,236,282","26,526,054","2,294,521",717,529,"3,011",359,42,25,4,1,,"1,692","1,747",24,272,18,35,135,101,"258,203",472,"568,766","1,306,286","1,371,155","10,814","16,311","2,492","29,669",,147,38,28,24,2,2,"1,388","4,079,062","51,073,705",,"9,404,008","1,235",16,"122,977",487,"50,132,705","1,101",10,155,,"2,739,319","57,709,597","4,877,915"
27,Bunjinn,True,1.0,183.0,"107,988,255",19,19,"2,475,406",,,,"1,085,739","10,014,486",544,,"585,514",,,883,"96,380",31,"5,727",2,,"4,295,703",12,335,"265,123,576","2,154,842","1,917,530",74,56,430,93,15,54,13,,1,945,185,5,81,6,7,56,367,"308,568",317,"12,736","4,260",,"7,027","6,265",678,"6,383",,33,71,6,473,,,261,"2,223,424","55,828,580",,"1,812,982",106,,"1,598,502","244,150","50,087,447",17,28,"1,175",21,"3,584,313","79,930,718","7,002,491"
28,rizizrii,True,0.0,46.0,"140,157,999",32,3,"13,732,049",,,,"1,547,180","3,626,467","1,848",,"415,607",4,,"2,655","177,026",174,"13,322",,2,"8,546,786",20,"2,178","51,295,888","94,083,365","1,601,786",402,277,"1,270",202,56,385,12,3,11,"2,275","1,348",3,108,20,86,78,370,"366,175",386,"334,688","8,118","3,849,190","4,172","13,842","2,777","23,763","204,432",35,60,25,1,,,325,"1,555,050","55,707,053","30,690","3,891,799",234,,"161,370","6,013","49,514,190",24,8,816,53,"4,393,007","111,663,504","7,944,730"
29,chinchilia,True,1.0,78.0,"436,635,469",77,396,"9,803,692",1,,,"795,998","7,100,424","8,521",792,"914,656",146,229,"19,296","531,292",359,"9,101",79,99,"22,600,294",6,151,"159,310,194","35,164,820","11,103,159",168,279,288,129,12,57,62,,3,"1,324",778,66,193,8,125,16,129,"613,503",483,"337,977","7,557","505,980","7,470","14,976","3,067","19,399","1,409,510,993",516,396,38,53,1,3,561,"1,593,739","94,674,546",,"4,179,250",129,10,"58,819","1,961","49,256,962",95,54,992,3,"2,434,990","72,106,428","3,253,002"
30,JonaRuu,True,0.0,61.0,"124,810,641",298,,"18,952,722",,,,"561,595","6,475,875",,"4,170","286,462",,,"4,005","116,506",53,"13,690",2,165,"4,614,073",4,6,"25,243,870","25,762,179","185,866",127,305,"1,018",203,19,188,137,,5,"1,750","1,398",131,113,3,11,137,468,"143,738",182,"2,556,186","44,288","290,520","2,962","17,178",349,"13,860","1,337",6,12,,126,,1,177,"2,844,601","44,714,895",,"8,589,412",500,,"639,461","15,457","46,161,847","1,240",63,9,62,"2,295,450","61,878,651","18,679,966"
31,Slaysen_,True,0.0,48.0,"124,158,202",433,23,"9,581,407",,9,,"3,034,255","7,082,210",483,"136,167","780,075",,3,"6,577","242,835",102,"7,375",,28,"5,311,948",12,"1,311","19,914,948","2,605,797","287,729",31,7,24,217,31,552,"1,527",,1,"2,650","3,327",17,64,38,50,110,222,"206,016",460,"21,376","22,545",,"2,268","11,851","3,743","14,078","204,658",4,42,13,55,,,348,"1,995,839","43,316,359",,"5,192,756","1,469",,"80,140","15,855","44,104,113",942,1,146,331,"3,773,070","77,488,369","8,046,723"
33,LucyLunana,True,0.0,78.0,,692,"1,998","22,129,314",,,,"2,658,632","2,259,648",,"32,974","633,073",36,6,885,"232,734",287,"8,126",23,179,"11,744,591",18,59,"76,033,130","1,029,225","1,885,385",368,38,"1,014",239,18,55,19,,1,"1,745","1,277",38,203,,4,20,207,"383,637",176,"1,089,852","12,645","63,666","1,004","22,427",99,"4,189","100,627,816",172,51,17,4,,,138,"761,937","59,493,569",,"2,787,745",467,,"56,124","38,527","40,328,131","1,557",13,116,440,"1,910,207","117,889,848","12,397,475"
