,Username,Can be bet on?,# Of Times Top in a Category,# Of Times Top in a Category (ALL SHEETS),AVIATE_ONE_CM,ANIMALS_BRED,BELL_RING,BOAT_ONE_CM,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_CM,CROUCH_ONE_CM,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_CM,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_CM,HAPPY_GHAST_ONE_CM,HORSE_ONE_CM,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_CM,MOB_KILLS,NAUTILUS_ONE_CM,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_CM,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_CM,STRIDER_ONE_CM,SWIM_ONE_CM,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_CM,WALK_ONE_CM,WALK_UNDER_WATER_ONE_CM
105,MidlifeChrises,True,0.0,27.0,"109,536,902",279,78,"4,451,245",,,,"298,717","10,992,137","1,440","1,760","198,510",673,9,"67,378","174,538",14,"2,007",,1,"11,762,047",4,594,"17,362,084","8,168,704","3,172,105",736,160,"2,043",48,54,,1,,,831,658,,30,,16,,35,"98,822",140,"6,635,794","7,924",,"2,037","6,020","1,245","10,501",,21,22,8,2,,,17,"1,051,687","21,801,920",,"998,103",2,53,"147,031","3,902","12,727,453",,2,61,,"1,012,477","19,386,714","1,178,908"
108,Chickity_China93,True,0.0,7.0,"46,240,394",,,"1,699,006",,,,"2,551,779","1,432,098",74,"11,230","125,621",,,,"95,545",82,"1,389",,5,"1,942,739",,,"7,137,165",,"8,487,117",1,,2,54,29,554,,1,1,528,964,31,7,,6,68,2,"65,830",180,"24,777",975,,867,"2,839",451,"1,589",,,4,,,,,106,"498,888","20,833,139",,"1,055,483",36,,"231,962","8,092","12,209,925",,1,4,,"577,801","19,155,568","715,733"
109,tarob4by,True,0.0,4.0,"32,791,695",190,60,"2,181,442",,,,"391,700","3,064,180",151,,"135,446",5,,"1,470","52,343",12,"1,463",7,,"3,605,238",4,387,"32,822,236","3,563,848","448,686",3,33,76,94,8,190,52,,13,"1,202",560,10,18,20,33,76,21,"154,183",79,"144,523","1,916",,"2,341","4,773",691,"2,944",,,34,1,51,,,53,"626,108","25,438,413",,"573,155",22,1,"642,413","38,944","12,189,267",,30,363,,"1,186,733","35,394,055","955,934"
112,Syndrops,True,0.0,4.0,"63,921,983",40,,"2,616,456",,,,"125,568","1,616,046",,"29,872","105,828",,,105,"35,443",9,830,,68,"843,848",,485,"5,368,209","239,528,425","5,185",4,,13,41,,15,11,,4,525,741,43,32,5,27,1,114,"49,528",78,,724,,"1,318","4,185",561,"4,639",,,1,,4,,,410,"500,633","5,957,843",,"531,796",19,,"3,151,539","1,340","11,957,717",5,,2,,"350,810","30,787,283","363,573"
114,wtblair,True,0.0,21.0,"69,386,660",6,,"8,924,656",,,,"313,516","3,404,557",,"3,850","263,097",,,"1,751","39,600",10,597,,,"1,947,920",1,,"18,063,115","344,096","2,900,406",34,9,154,73,12,75,18,,,833,266,,45,,7,25,360,"87,810",135,"89,341","3,116",,"4,358","4,910",572,"3,709",,,,,56,,,180,"581,204","22,507,481",,"678,364",438,,"4,553,419","8,868","11,698,683","1,891",4,25,,"647,218","30,900,356","951,946"
115,DraugaDrottinXx,True,0.0,6.0,,547,171,"6,479,710",,,,"771,439","675,839",,"38,308","320,813",,,61,"48,854",55,"2,761",11,333,"2,393,781",3,,"13,877,250",,"234,868",70,,150,120,1,24,721,,,414,361,46,5,,,11,13,"82,031",97,"1,452,081","9,553",,117,"5,753",36,615,,,20,2,,,,105,"248,679","15,694,294",,"2,151,188",178,4,"276,499","14,671","11,637,950",288,,6,67,"540,385","29,455,518","3,156,852"
116,schnaaa,True,0.0,13.0,"100,198,491",,185,"1,458,479",,,,"333,863","3,301,597",,"4,234","144,122",,101,"5,482","107,660",74,"1,701",6,,"4,051,139",2,1,"29,026,802","34,207,456","2,088",,1,6,27,23,,,,,543,"1,033",2,99,,2,,124,"119,581",201,,888,,768,"1,253",106,"6,146",,,40,7,,,,232,"660,581","13,723,801",,"354,107",4,,"43,657","20,105","11,588,376",4,5,2,,"586,881","39,258,506","1,825,518"
117,JustSofia19,True,0.0,6.0,"45,078,144",649,29,"2,789,247",,,,"655,622","382,340",8,"5,819","221,684",,,113,"22,773",6,834,1,31,"750,354",5,237,"8,954,841",,"335,346",26,,142,48,32,37,134,71,5,739,"1,267",2,39,9,13,2,60,"54,398",101,"12,484","3,006",,"2,496","8,091",472,595,,,3,,3,,,147,"153,239","21,359,271",,"879,372",103,,"6,850,017","11,252","11,558,436",280,8,3,90,"877,834","24,811,671","1,836,826"
121,ItsFernux,True,0.0,3.0,"91,099,206",102,232,"4,423,679",,,,"344,324","1,076,263",239,"28,232","926,362",275,,639,"82,333",15,"3,579",1,53,"1,473,284",,,"10,715,736","32,925,794",366,34,206,"1,116",136,18,,93,,,656,726,39,21,,19,14,59,"56,380",68,,"52,800",,"1,076","6,574",763,"2,553",,11,3,,3,4,2,62,"283,460","11,658,768",,"937,157","1,081",,"2,246,806","3,775","10,581,978","1,046",1,40,,"233,829","10,447,909","441,530"
123,Emzio,True,0.0,3.0,"12,155,980",304,3,"3,540,956",,,,"371,645","177,084",171,"20,898","86,981",,,207,"36,590",23,501,,84,"947,492",2,192,"6,920,498","15,851,859","275,624",,13,311,87,9,67,61,3,,557,179,27,27,,1,135,52,"39,854",107,,"12,507",,993,"2,569",459,"1,292",,17,2,1,21,1,1,199,"91,940","15,782,672",,"440,492",68,,"1,345,190","3,090","10,383,958",60,5,9,9,"231,822","18,001,005","834,188"
126,DesertLapis,True,0.0,1.0,"131,436,866",,14,"1,990,499",,,,"130,316","263,920",,"19,871","185,543",,,461,"45,024",18,"5,851",3,18,"2,997,452",,53,"22,270,478",,"21,690",28,,19,70,13,2,172,,,605,338,16,33,23,41,1,18,"111,923",168,"1,121","1,890",,"1,171","1,936",231,"1,719",,,4,,1,,,274,"82,727","23,969,688",,"919,231",183,,"3,075,234","15,182","10,092,916",65,1,234,,"436,839","28,092,586","647,748"
127,DrXenovia,True,0.0,16.0,"40,566,908",90,,"4,322,690",,,,"615,385","3,782,159",80,450,"5,871,886",,,"4,450","65,622",8,"2,940",,44,"1,672,105",3,3,"10,045,321","7,931,334",510,39,35,"2,295",73,20,,63,,,837,270,24,39,,24,,2,"65,734",102,"9,019","196,645",,"1,445","5,009","1,177","3,573",,,6,,,,,38,"674,627","8,736,636",,"479,286",12,,"2,705,272","123,747","9,695,481",,1,6,1,"584,316","18,030,533","338,693"
132,Haktaru,True,0.0,17.0,"11,666,684",242,5,"2,913,078",,,,"1,191,115","3,602,268",,"38,104","186,942",160,,166,"41,389",14,549,,20,"1,968,531",23,3,"11,240,647","35,188,836","4,170",381,80,484,118,16,,225,16,6,779,527,15,59,,10,19,160,"72,795",68,"382,922","9,799",648,"1,230","8,867",912,"4,157",,3,5,1,44,,,396,"1,082,740","20,865,248","4,148,931","1,422,116",19,,"107,158","34,957","9,303,608",18,6,67,35,"1,227,433","24,150,247","4,097,398"
134,Jomzta,True,0.0,4.0,"53,309,579",,171,"6,332,957",,,,"115,839","1,035,615",221,"1,790","138,493",,,908,"49,878",2,"2,248",,44,"2,425,756",,,"8,570,483",,"6,036",14,18,111,66,1,46,,,,421,117,,46,4,10,2,1,"60,187",125,,878,,"1,308",851,"1,176","1,831","2,734,436","1,029",5,,,1,1,35,"189,480","9,515,113",,"388,146",343,,"343,327","13,783","9,131,433",447,1,704,,"576,605","18,595,249","595,115"
136,Villskap,True,0.0,17.0,"11,403,442",,3,"9,472,318",,,,"229,414","121,448",,"23,420","157,134",,,120,"14,290",2,"1,131",,304,"341,306",,247,"1,513,118",,169,,2,35,99,,37,20,,,323,217,122,80,,1,,103,"19,730",118,,"24,283",,"1,631","4,075",98,"2,517",,49,15,,23,,,249,"74,225","13,044,520",,"1,508,172",,,"7,206,115","12,048","8,983,007",,6,142,,"345,758","26,967,947","1,243,040"
138,Pickulfff,True,0.0,2.0,"34,946,443",150,10,"4,025,763",,,,"707,338","1,012,607",42,"2,160","79,395",,,"2,473","71,111",49,785,,33,"2,722,372",4,,"18,171,703","92,973","4,512",8,29,5,16,5,7,1,,,397,67,14,26,,1,9,60,"86,821",87,"243,558","2,084",,554,"3,260",120,"1,418",,,,2,26,,,18,"272,842","16,760,270",,"244,207",12,26,"90,622","77,313","8,881,281",29,3,5,8,"253,780","19,760,330","226,334"
144,skamlogs,True,0.0,13.0,"89,580,648",428,11,"3,235,223",,,,"100,939","573,274",102,"8,816","396,994",,,"11,254","158,354",95,"5,385",7,18,"3,040,594",6,,"22,436,429",,"37,444",2,5,23,179,36,11,25,,2,811,631,21,85,1,82,3,20,"107,309",140,"343,075","3,622",,"1,242","6,680",449,"1,965",,1,19,10,5,,,58,"169,328","16,568,065",,"805,221",38,,"49,985","3,113","8,566,507",15,41,269,8,"383,156","23,463,536","392,887"
145,Beardmead,True,0.0,4.0,"37,502,574",113,,"4,187,973",,,,"720,902","541,490",635,"20,300","341,283",,,299,"70,636",77,"1,779",,82,"1,182,324",10,9,"7,795,195",,,108,2,29,62,1,,33,,,"1,064","1,533",1,16,,6,,,"54,115",86,,"12,648",,430,"2,657",811,"2,876",,2,,,20,,,120,"157,410","6,913,010",,"225,490",339,,"326,203","13,181","8,541,262",647,,8,15,"423,572","26,220,726","437,798"
148,Sivullinen,True,0.0,12.0,"7,636,154",103,,"1,818,489",,,,"1,128,857","178,217",,,"357,348",,,9,"38,502",3,558,,25,"696,778",,88,"913,701",,"12,469,859",88,56,492,64,2,,1,,1,507,546,65,6,,4,,4,"47,928",51,344,"3,239",,176,"5,641",340,"3,002",,,,,,,,63,"77,507","3,820,850",,"2,674,541","2,711",,"7,027,274",126,"8,423,645","7,011",,,247,"1,509,093","39,318,606","1,293,867"
149,GeirtheTyphoon,True,0.0,5.0,"46,967,753",,24,"26,165,199",,,,"1,920,646","308,923",,"12,446","251,511",,,226,"35,124",13,897,,55,"1,908,246",,232,"16,966,831",,"8,380,998",52,1,9,58,8,5,75,,1,418,508,58,45,1,13,1,13,"75,969",63,,"4,350",,"4,579","1,555",629,303,,,100,,2,,,92,"126,851","13,266,319",,"1,304,640",590,1,"3,167,951","22,173","8,420,758","1,090",1,,,"591,724","8,573,128","710,378"
150,Xalithia,True,0.0,7.0,"40,522,930",139,,"7,608,797",,,,"343,941","601,086",35,960,"147,129",175,,663,"23,367",2,"1,088",2,1,"3,300,549",,8,"20,709,465","16,086,026","1,684,781",92,40,34,40,12,2,5,,,393,278,,20,9,,59,5,"105,840",87,"12,126","1,129",,837,"3,548",720,"3,548",,2,1,1,,,,45,"167,542","21,852,633",,"4,479,500",545,,"182,154","30,857","8,360,482","1,049",12,54,,"1,054,959","10,397,311","3,493,912"
151,YamiiTM,True,0.0,2.0,"34,576,726",,,"8,201,621",,,,"243,011","3,491,943",,"1,206","150,312",,,345,"17,820",,"1,588",,,"1,338,594",,167,"9,060,760","573,798","231,699",3,11,99,38,26,15,1,,,443,406,2,9,,14,,106,"47,720",78,"151,767",762,,505,"2,165",411,"3,811",,,4,,1,,,85,"528,904","13,619,447",,"1,295,802",12,,"8,345,433",654,"8,345,433",,,,,"478,898","11,922,418","560,848"
152,Airiel4262,True,0.0,8.0,"65,385,501",2,336,"1,512,754",,,,"380,804","671,014",,"51,726","237,340",,,"2,776","55,692",38,673,,10,"1,999,573",5,,"16,420,656","559,946","490,549",1,,70,96,16,149,30,10,,206,"1,152",52,21,1,3,182,5,"77,416",118,"9,163","6,229","49,518",447,"5,103",245,733,,,,5,,,,12,"153,879","27,619,961",,"2,603,401",202,1,"83,346","48,968","8,342,504",141,,,74,"405,776","19,508,435","2,151,869"
159,Arrowspate,True,0.0,9.0,"45,450,257",5,3,"858,362",,,,"944,005","2,054,493",,"11,984","211,427",,,"3,369","55,515",23,827,,11,"1,914,295",,83,"9,829,385","10,815,183",,22,,268,67,12,11,4,,,421,280,5,22,14,12,7,12,"68,218",68,196,"6,799",,482,"3,715",800,"1,565",,,,,,,,118,"299,303","11,070,656",,"592,868",438,,"937,962","13,764","7,786,624",666,,2,,"365,969","15,468,250","220,951"
162,spikeaz,True,0.0,0.0,"37,638,955",76,1,"3,433,892",,,,"375,079","696,420",,"3,520","200,078",,,711,"18,057",3,"1,867",,2,"1,038,617",,107,"9,195,052","22,610,957",,1,5,61,48,,132,4,,6,211,402,6,198,3,13,65,9,"45,313",97,"210,318","5,506",,"1,876","3,356",452,"1,839",,1,,1,3,,1,51,"233,087","19,780,074",,"1,801,596",8,,"7,106,473","2,101","7,465,779",,,14,10,"584,673","12,052,987","1,931,145"
163,CatWhiskers49623,True,0.0,3.0,"26,576,029",65,,"903,803",,,,"177,975","1,021,255",40,"34,940","168,207",,,"2,346","97,154",106,587,3,22,"2,050,273",,318,"14,379,361","10,800","12,845",3,21,55,87,23,,,46,1,583,707,14,24,,17,,,"74,602",77,,"1,626",,"1,262","3,162",183,"3,932",,,,,,,,75,"394,620","11,337,470",,"416,503",70,,"278,783","26,448","7,438,201",461,3,3,,"676,835","20,620,694","338,265"
164,rat_kao,True,0.0,4.0,"2,806,137","1,312",,"2,312,174",,,,"493,613","236,054",,"25,350","117,371",,,105,"33,028",13,"1,534",41,88,"1,013,422",,289,"8,895,060",,"8,439",,2,1,103,9,1,1,442,2,530,"1,330",33,93,,8,,13,"55,937",63,"6,401","2,042",,"1,541","6,394",437,867,,,2,,51,,,160,"115,607","6,476,246",,"1,068,311",42,,"597,559","44,654","7,355,723",11,6,1,,"477,260","19,525,848","333,978"
167,s4ubaru,True,0.0,0.0,"49,999,501",1,,"1,741,829",,,,"81,874","548,209",161,"18,292","354,039",,,486,"40,093",9,"1,719",,2,"1,304,963",1,114,"5,459,160","480,534","1,003,476",7,3,3,95,1,140,46,11,,376,126,,30,,14,67,,"42,576",80,,"6,356",,736,"2,043",638,788,,,10,,11,1,1,103,"182,406","14,011,296",,"651,599",35,,"1,392,332","8,238","7,222,458",52,1,8,,"366,077","12,743,925","622,281"
168,mleeum,True,0.0,1.0,"65,368,476",6,1,"263,924",,,,"243,532","410,866",125,400,"193,258",,,"1,525","63,168",40,940,,26,"1,410,337",5,6,"7,159,981","620,131","11,250",2,47,18,58,27,9,,,,363,448,11,145,1,12,19,109,"49,439",109,"518,918","1,217",,"1,671","1,693",381,"3,491","246,016,355",502,86,1,1,,,70,"180,487","13,572,317",,"158,134",50,,"1,840,657","23,449","7,159,113",31,8,662,3,"288,970","16,671,858","359,976"
169,NoLifeStudiosYT,True,0.0,2.0,"71,876,359",1,17,"2,444,405",,,,"97,995","1,507,265",122,"3,736","93,972",,,293,"71,561",38,347,2,6,"2,944,816",,7,"14,678,967",,"140,472",37,34,84,42,6,1,,,11,467,357,7,13,1,9,1,40,"91,952",121,"22,077","1,142",,"4,590","4,543",720,"4,511",,,6,3,4,,,7,"270,836","8,871,729",,"1,652,021",556,,"7,190","7,217","7,064,033",274,5,6,,"1,506,317","11,109,542","2,369,830"
171,BobThyBox,True,0.0,1.0,"46,924,637",72,1,"3,466,369",,,,"375,419","637,817",278,"10,552","231,897",120,,847,"3,118,832",46,"3,087",,1,"32,403,814",3,11,"16,118,460",,"9,912",31,3,45,196,12,69,1,2,8,562,459,4,273,,46,24,2,"82,455",83,"8,512","1,564",,"1,451","3,161",330,"1,585",,45,4,4,,,,82,"226,949","16,225,995",,"2,307,302",83,,"219,060","54,915","7,032,379",8,6,44,1,"702,030","15,060,538","1,336,115"
172,SnowSah,True,0.0,8.0,"126,684,199",14,8,"1,897,696",,14,,"230,384","1,590,979",410,"7,444","121,799",21,,897,"67,007",21,"1,013",,47,"1,403,985",11,96,"13,739,756","107,871","405,250",68,3,115,106,26,1,9,,,570,365,52,35,9,11,6,6,"63,995",185,"12,466","7,914",,"2,204","1,596","2,234","4,485",,,,,,,,119,"385,227","26,421,208",,"307,314",638,,"515,904","8,587","7,016,250","1,880",3,4,1,"487,984","17,301,693","452,401"
173,MagicSchoolBurs,True,0.0,4.0,"35,445,089",,11,"6,798,128",,,,"425,590","3,320,582",,"3,926","101,706",,,33,"55,041",14,637,,2,"3,758,556",,,"11,597,030","121,461,540",,1,,,50,18,,,,1,341,112,2,25,,9,,,"80,256",75,,"1,153",,751,715,188,"1,726",,,,,,,,221,"613,499","9,713,063",,"376,942",204,,"6,459,501","3,036","6,987,884",4,,,1,"257,294","9,391,824","565,661"
174,fi5hgirl,True,0.0,6.0,"63,501,161",1,,"892,134",,,,"21,676","2,656,273",165,"4,700","148,965",,,"1,856","50,247",6,"1,267",,90,"951,992",,,"4,809,722","92,586,468",,4,2,37,40,3,8,2,,,189,214,79,48,3,10,,,"32,283",49,,"16,921",,746,"2,183",768,"1,567",,,7,,,,,78,"666,005","10,047,950",,"393,981",1,,"1,063,963","56,151","6,828,779",,6,6,,"221,584","13,346,375","1,165,884"
175,JumpoRah,True,0.0,0.0,"30,189,737",53,1,"1,383,085",,,,"38,876","1,824,920",,"12,786","86,290",,,,"33,125",6,340,,37,"1,793,928",1,,"13,453,627",,"12,917,162",,,8,17,7,2,31,,,421,261,27,10,,10,2,10,"67,010",70,,"3,341",,"1,513","2,203",306,"2,157",,,,,,,,21,"467,563","8,762,400",,"444,930","1,329",,"2,978,268","4,313","6,753,701","8,639",,,,"212,068","12,089,143","152,998"
176,Shy_Warrior2034,True,0.0,0.0,"15,639,917",6,3,"2,651,187",,,,"570,636","1,189,681",,"7,358","109,806",,,140,"33,465",22,420,,1,"751,512",,,"6,700,570","294,868","1,027",,1,88,86,17,,,,,224,171,,2,,,,54,"33,647",81,"303,042","9,520",,289,"2,921",343,668,,,,,,,,19,"351,799","9,112,089",,"3,179,605",,,"186,193","32,152","6,697,576",,9,4,,"727,489","11,479,617","1,448,932"
177,Jfox91328,True,0.0,1.0,"24,853,967",245,56,"2,121,702",,,,"340,761","385,436",,"1,110","143,468",,,16,"37,049",31,"1,033",,,"865,180",,,"6,660,443","605,782","3,054",393,89,"1,036",11,14,42,2,24,,498,628,2,23,,30,11,,"41,135",64,"8,180",840,,535,"1,551",244,"2,041",,22,,,,,,48,"134,228","6,697,727",,"204,245",62,,"1,489,518","1,359","6,695,443",,1,38,,"297,224","13,757,500","272,977"
178,Kori_Infernalis,True,0.0,11.0,"48,585,805",1,4,"2,225,401",,,,"121,181","1,972,856",,75,"39,959",,,,"22,888",23,910,,28,"1,193,321",1,1,"16,192,714",,"384,299",,,114,33,13,,,,,368,332,23,8,,5,1,26,"65,722",145,,"1,376",,"1,369","2,093",81,"2,369",,,14,,,,,277,"264,577","13,810,225",,"293,135",62,,"350,319","8,762","6,639,312",,,3,1,"179,006","16,674,838","170,307"
185,RyanG2606,True,0.0,4.0,"68,746,105",,,"274,590",,,,"58,614","1,143,756",,,"71,020",,,163,"24,019",6,720,,,"665,599",2,,"4,917,551",,"413,346",4,,8,43,,,1,,,317,468,,22,,28,,44,"25,453",162,"6,241","3,576",,"1,783","1,989",515,"2,773",,,,,,,,30,"707,527","9,879,589",,"115,818",230,,"1,390,264","30,015","6,143,422",19,2,7,,"107,259","8,274,189","262,457"
187,ZPlusBlake,True,0.0,2.0,"18,162,983",120,37,"1,601,170",,,,"171,519","284,796",,"2,325","145,933",,,64,"31,805",17,692,,9,"458,397",,,"960,906","1,620,771","726,906",3,1,55,19,,73,1,,2,183,116,5,7,,2,2,22,"18,936",85,,"3,508",,765,836,226,922,,4,7,1,,1,1,79,"219,181","17,506,737",,"452,770",48,,"17,610",959,"5,861,969",,,7,,"500,145","15,558,029","259,565"
188,PingPongBoi5731,True,0.0,2.0,,127,,"5,248,508",,,,"425,964","751,223",,"45,178","113,234",,,20,"24,712",9,201,,34,"1,582,438",5,22,"11,215,724",,,2,,4,1,,280,1,,,593,639,45,9,,,103,66,"60,219",118,,785,,355,"2,193",38,12,,,12,,,,,92,"248,593","14,713,543",,"401,378",12,,"503,451","16,145","5,748,866",4,,,457,"473,837","19,484,011","607,174"
192,TheTrashRat7528,True,0.0,3.0,"48,161,572",,1,"1,288,071",,,,"223,530","2,425,341",,"37,460","146,705",,,798,"55,471",34,950,3,21,"1,605,437",1,519,"10,600,898","1,524,713","41,269",6,77,3,124,15,,5,,,192,184,6,19,,7,1,2,"62,475",46,,"1,339","32,832","1,676","1,552",256,"3,678",,,7,3,,,,40,"411,366","9,203,726",,"837,316",3,,"1,689,890","26,920","5,606,521",,1,25,,"615,580","16,350,921","688,757"
199,MouthBreather,True,0.0,27.0,"8,109",5,108,"3,022,643",,,,"56,590","157,757",,518,"100,647",73,,"1,935","22,077",34,572,5,78,"924,412",,148,"4,873,288",,"4,111,453",11,1,17,24,,,,,,198,302,29,1,1,2,4,60,"28,032",38,,"5,933",,149,"2,395",86,54,,5,15,12,77,,,13,"67,850","2,790,370",,"82,500",16,,"69,284",484,"5,256,296",12,2,,,"114,929","7,990,085","222,724"
201,PuppygirlSephie,True,0.0,0.0,,236,2,"1,621,872",,,,"177,911","492,445",,"19,200","66,769",,,331,"16,707",10,221,,,"2,166,867",,20,"23,539,836",,"154,243",,,7,14,,,,,1,331,319,5,9,10,,,8,"92,136",36,"48,840",636,,80,"1,698",4,86,,,,,,,,145,"200,305","8,816,736",,"541,362",5,,"1,481,732","15,454","5,227,234",,,,,"227,076","15,429,973","432,788"
203,GoblinGumbo,True,0.0,9.0,"8,067,369",21,46,"2,437,877",,,,"685,608","754,347",78,,"45,308",,,37,"15,836",6,421,,13,"601,891",,32,"8,895,059",,"2,317,128",3,4,27,28,,2,16,,,249,298,,6,,,1,,"44,809",56,,606,,882,"2,871",78,"2,313",,,,,,,,339,"328,147","10,420,049",,"310,939",800,,"97,468","8,801","5,165,322","1,121",2,,,"323,624","14,793,316","194,939"
205,Valdaya,True,0.0,0.0,"21,204,925",13,11,"393,290",,,,"55,349","48,662",,"7,108","37,078",,,343,"14,674",19,190,1,12,"158,582",,175,"123,681",,332,2,,20,62,9,43,,,1,127,101,3,19,,16,18,3,"11,925",45,,818,,825,"1,553",450,"1,869",,,,,,,,88,"26,391","593,609",,"2,431",121,,"403,254","20,613","5,054,863",130,1,,,"518,634","22,399,468","370,425"
206,Phoenix24k,True,0.0,7.0,"7,013,160",55,2,"6,176,838",,,,"157,829","811,113",,"27,136","332,125",,,68,"16,436",9,820,,57,"1,448,398",,74,"9,642,980",,"2,558,274",,3,27,45,1,95,29,38,,368,382,29,18,,,,62,"49,204",36,277,"3,270",,"1,463","2,155",175,207,,,,10,6,,,114,"187,188","5,367,495",,"426,083",231,,"78,211","12,672","5,029,436",331,,2,,"470,965","10,076,111","342,756"
211,spartan2744,True,0.0,1.0,"22,841,844",,,"982,565",,,,"298,937","601,980",,,"80,833",,,"1,642","29,651",16,"1,233",,1,"867,431",,140,"4,205,077","687,535",,3,3,9,32,12,,,,,157,263,1,19,,8,,39,"29,187",32,,635,,371,"1,334",96,442,,,14,3,,1,1,96,"224,946","5,329,926",,"162,123",3,,"572,952","1,374","4,939,515",,2,,,"106,836","16,034,249","174,356"
213,MandyBias,True,0.0,0.0,"14,287,960",165,3,"2,661,657",,,,"54,940","2,145,819",,"1,388","145,013",,,16,"40,218",47,809,,187,"996,158",,39,"7,033,811",,,14,41,458,52,12,6,,75,1,416,386,42,19,,1,1,17,"40,861",72,,"9,692",,503,"5,921",90,448,,,,,,,,55,"537,372","6,103,262",,"922,532",20,,"440,582","4,260","4,858,809",,,,,"850,929","14,629,379","864,297"
216,Adumu,True,0.0,2.0,"6,343,688",552,,"1,410,583",,,,"380,649","120,379",,"25,066","73,185",,,397,"25,014",9,271,,24,"772,213",,460,"2,689,078",,,,,34,10,,54,,,,313,127,10,10,,1,20,79,"21,555",20,,"2,070","53,136",637,"1,778",6,175,,1,,,39,,,64,"49,370","7,609,195",,"227,868",2,,"93,515","5,159","4,739,213",1,,"74,624",,"220,022","6,669,500","141,320"
217,SharkyChompa,True,0.0,0.0,"16,824,504",20,,"89,462",,,,"37,724","161,184",,"14,182","145,088",,,40,"8,203",2,153,,,"387,378",,49,"5,607,231",,,27,9,9,22,,92,,,1,310,108,,20,1,10,,54,"29,770",28,,"1,484",,"2,195","1,445",389,710,,2,2,,,,,23,"68,177","4,340,023",,"76,826",6,,"2,750,018","40,356","4,693,257",,1,32,,"186,815","12,624,340","212,771"
218,kiQubits_,True,0.0,4.0,"7,045,096",,,"1,822,671",,,,"88,985","1,226,561",205,"60,778","297,924",1,,84,"28,697",10,833,,10,"797,119",,10,"6,097,353","6,345,555",619,27,1,1,32,,161,112,,,604,498,8,11,,10,,149,"40,872",33,,"9,815",,282,"2,188",505,770,,,3,,,,,82,"235,598","5,878,596",,"1,374,250",149,,"783,223","9,830","4,608,187",224,1,,,"333,631","16,024,843","257,342"
221,Velvind,True,0.0,0.0,"7,926,793",8,13,"6,401,724",,,,"180,078","376,277",2,"11,880","83,371",125,,516,"38,154",18,514,2,33,"1,210,635",,133,"8,785,744","2,382,561","3,162",,,15,45,,,,,1,208,126,12,15,6,6,,56,"38,749",27,,"6,544",,524,"1,329",187,"1,141",,,3,,4,,,83,"120,913","5,236,184",,"317,653",2,,"1,219,580","5,159","4,505,482",,2,3,,"247,905","11,555,027","284,068"
223,Spork7,True,0.0,1.0,"9,162,930",,2,"1,544,644",,,,"91,824","156,181",,"1,834","31,035",,,59,"14,801",12,87,,7,"308,619",,,"954,626",,,122,,422,18,,,2,,,243,146,6,6,,,,,"13,425",42,,"2,533",,638,"1,736",52,517,,21,,,,,,45,"59,366","5,380,233",,"13,391",3,,"413,934","40,254","4,499,743",,2,157,,"164,569","6,264,723","82,184"
224,somesparethyme,True,0.0,1.0,"14,632,994",94,,"1,182,113",,,,"308,801","325,378",,"3,896","117,212",,,237,"8,977",2,821,,105,"592,659",1,534,"5,400,808",,,5,50,11,77,8,12,,,,427,731,8,122,19,18,,78,"32,255",65,"41,321","1,029",,"1,055","2,796",258,971,,,,,21,,,138,"112,130","13,661,387",,"189,604",,,"3,934,804","6,765","4,376,278",,,8,,"174,890","10,077,386","124,500"
